Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , Matemática Para Ciências Da Natureza I , Pesquisa Histórica Ii , Ciências Da Natureza: Física Iii , Ciências Da Natureza: Física Iii , Divulgação Científica E Espaços Não Formais De Ensino 
20:30:00 - 21:15:00 , , , Matemática Para Ciências Da Natureza I , Pesquisa Histórica Ii , Ciências Da Natureza: Física Iii , Ciências Da Natureza: Física Iii , Divulgação Científica E Espaços Não Formais De Ensino 
21:15:00 - 22:00:00 , , , Políticas Educacionais No Brasil , Geologia I , Pedologia , Matemática Para Ciências Da Natureza I , Matemática Para Ciências Da Natureza I 
Sala: 106 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , Saúde Coletiva I , , 
08:00:00 - 08:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Estágio Supervisionado Iii , Saúde Mental I , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii 
08:50:00 - 09:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Antropologia Iii , Sociologia Iii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii 
10:00:00 - 10:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Antropologia Iii , Sociologia Iii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii 
10:50:00 - 11:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Ciência Política V , Saúde Coletiva I , Sociologia Iii , Tutorial Em Saúde Iii 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , Tutorial Em Saúde Ii , , , , Saúde Coletiva I 
14:00:00 - 14:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Tutorial Em Saúde Ii , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Tutorial Em Saúde Iii , , , , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Tutorial Em Saúde Iii , , , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , Ciências Da Natureza: Química Iii , Estágio Supervisionado Ii , , Ciências Da Natureza - Química I , 
20:30:00 - 21:15:00 , , , Ciências Da Natureza: Química Iii , Estágio Supervisionado Ii , , Ciências Da Natureza - Química I , 
21:15:00 - 22:00:00 , , , Matemática Para Ciências Da Natureza I , Geografia Urbana , Divulgação Científica E Espaços Não Formais De Ensino , Física I , Ciências Da Natureza - Química I 
Sala: 107 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , Saúde Coletiva I , , 
08:00:00 - 08:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Parasitologia Humana , Saúde Coletiva I , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Tutorial Em Saúde Ii 
08:50:00 - 09:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Núcleos Temáticos De Pesquisa , Estágio Supervisionado Iii , Saúde Mental I , Tutorial Em Saúde Ii 
10:00:00 - 10:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Núcleos Temáticos De Pesquisa , Estágio Supervisionado Iii , Saúde Mental I , Tutorial Em Saúde Iii 
10:50:00 - 11:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Tutorial Em Saúde Ii , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Tutorial Em Saúde Iii , , , , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Tutorial Em Saúde Iii , , , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , Ciências Da Natureza - Química I , , , 
20:30:00 - 21:15:00 , , , , Ciências Da Natureza - Química I , , , 
21:15:00 - 22:00:00 , , , Matemática Para Ciências Da Natureza I , Ciências Da Natureza: Física Iii , Divulgação Científica E Espaços Não Formais De Ensino , Física I , Ciências Da Natureza - Química I 
Sala: 108 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , 
08:00:00 - 08:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , Tutorial Em Saúde Ii 
08:50:00 - 09:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Núcleos Temáticos De Pesquisa , Saúde Coletiva I , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Tutorial Em Saúde Ii 
10:00:00 - 10:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Núcleos Temáticos De Pesquisa , Saúde Coletiva I , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Tutorial Em Saúde Iii 
10:50:00 - 11:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Núcleos Temáticos De Pesquisa , Saúde Coletiva I , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , Pesquisa Histórica Ii , , , 
20:30:00 - 21:15:00 , , , , Pesquisa Histórica Ii , , , 
21:15:00 - 22:00:00 , , , Ciências Da Natureza: Química Iii , Ciências Da Natureza: Física Iii , Ciências Da Natureza - Química I , Antropologia Iii , Fundamentos Filosóficos E Sócio Históricos Da Educação 
Sala: 109 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , 
08:00:00 - 08:50:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , Tutorial Em Saúde Ii 
08:50:00 - 09:40:00 , , , , Parasitologia Humana , Saúde Coletiva I , Saúde Mental I , Tutorial Em Saúde Ii 
10:00:00 - 10:50:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , Núcleos Temáticos De Pesquisa , Saúde Coletiva I , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , Políticas Educacionais No Brasil , , , 
20:30:00 - 21:15:00 , , , , Políticas Educacionais No Brasil , , , 
21:15:00 - 22:00:00 , , , Ciências Da Natureza: Química Iii , Pesquisa Histórica Ii , Ciências Da Natureza - Química I , Antropologia Iii , Fundamentos Filosóficos E Sócio Históricos Da Educação 
Sala: 201 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , 
08:00:00 - 08:50:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
08:50:00 - 09:40:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
10:00:00 - 10:50:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , Psicologia Da Educação I , Pesquisa Histórica Ii , Ciências Da Natureza: Física Iii , Pesquisa Histórica Ii , Divulgação Científica E Espaços Não Formais De Ensino 
Sala: 202 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , 
08:00:00 - 08:50:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
08:50:00 - 09:40:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
10:00:00 - 10:50:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
10:50:00 - 11:40:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , Psicologia Da Educação I , Estágio Supervisionado Ii , Ciências Da Natureza: Física Iii , Pesquisa Histórica Ii , Divulgação Científica E Espaços Não Formais De Ensino 
Sala: 203 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
08:50:00 - 09:40:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
10:00:00 - 10:50:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Saúde Mental I , , , , Saúde Coletiva I 
16:50:00 - 17:40:00 , , , Saúde Mental I , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , Ciências Da Natureza - Química I , Estágio Supervisionado Ii , , Ciências Da Natureza: Física Iii , 
Sala: 204 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
08:50:00 - 09:40:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
10:00:00 - 10:50:00 , , , , Núcleos Temáticos De Pesquisa , Saúde Coletiva I , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , Ciências Da Natureza - Química I , Ciências Da Natureza - Química I , , Ciências Da Natureza: Física Iii , 
Sala: 205 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
08:50:00 - 09:40:00 , , , , Núcleos Temáticos De Pesquisa , Saúde Coletiva I , Saúde Mental I , 
10:00:00 - 10:50:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , Núcleos Temáticos De Pesquisa , Saúde Coletiva I , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , Saúde Coletiva I 
16:00:00 - 16:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , Ciências Da Natureza - Química I , , Ciências Da Natureza - Química I , 
Sala: 206 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
08:50:00 - 09:40:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
10:00:00 - 10:50:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , 
16:00:00 - 16:50:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , Pesquisa Histórica Ii , , Ciências Da Natureza - Química I , 
Sala: 207 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
08:50:00 - 09:40:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
10:00:00 - 10:50:00 , , , , , Saúde Coletiva I , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , Pesquisa Histórica Ii , , , 
Sala: 208 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
08:50:00 - 09:40:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
10:00:00 - 10:50:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , Políticas Educacionais No Brasil , , , 
Sala: 209 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Laboratório De Prática De Ensino Ii , Estágio Supervisionado Iii , Didática E Prática De Ensino Em Ciências Sociais Ii , Laboratório De Prática De Ensino I 
08:00:00 - 08:50:00 , , , Laboratório De Audiovisual , Inglês Instrumental , Filosofia , Antropologia V , História I 
08:50:00 - 09:40:00 , , , Laboratório De Audiovisual , Inglês Instrumental , Filosofia , Antropologia V , História I 
10:00:00 - 10:50:00 , , , Laboratório De Audiovisual , Inglês Instrumental , Filosofia , Antropologia V , História I 
10:50:00 - 11:40:00 , , , Laboratório De Audiovisual , Inglês Instrumental , Filosofia , Química Geral , História I 
11:40:00 - 12:30:00 , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Laboratório De Prática De Ensino Ii , Estágio Supervisionado Iii , Química Geral , Laboratório De Prática De Ensino I 
13:10:00 - 14:00:00 , , , Soberania Alimentar , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Sociologia , Saúde Mental I , Psicologia No Processo Saúde-Doença 
14:00:00 - 14:50:00 , , , Saúde Mental I , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Coletiva I 
14:50:00 - 15:40:00 , , , Soberania Alimentar , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , Saúde Mental I , Psicologia No Processo Saúde-Doença 
16:00:00 - 16:50:00 , , , Soberania Alimentar , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , , Saúde Mental I , Estágio Supervisionado I 
16:50:00 - 17:40:00 , , , Soberania Alimentar , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Sociologia , Saúde Mental I , Saúde Coletiva I 
17:40:00 - 18:30:00 , , , Climatologia I , Climatologia I , Sociologia , Saúde Mental I , 
18:05:00 - 18:50:00 , , , Climatologia I , Climatologia I , Divulgação Científica E Espaços Não Formais De Ensino , Saúde Mental I , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , Divulgação Científica E Espaços Não Formais De Ensino , Divulgação Científica E Espaços Não Formais De Ensino , Divulgação Científica E Espaços Não Formais De Ensino , Diagnóstico E Manejo De Bacias Hidrográficas , Ciências Da Natureza - Química I 
20:30:00 - 21:15:00 , , , Divulgação Científica E Espaços Não Formais De Ensino , Divulgação Científica E Espaços Não Formais De Ensino , Divulgação Científica E Espaços Não Formais De Ensino , Diagnóstico E Manejo De Bacias Hidrográficas , Ciências Da Natureza - Química I 
21:15:00 - 22:00:00 , , , Divulgação Científica E Espaços Não Formais De Ensino , Divulgação Científica E Espaços Não Formais De Ensino , Fundamentos De Astronomia , Divulgação Científica E Espaços Não Formais De Ensino , Diagnóstico E Manejo De Bacias Hidrográficas 
Sala: 301 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
08:50:00 - 09:40:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
10:00:00 - 10:50:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Saúde Mental I , 
10:50:00 - 11:40:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , Políticas Educacionais No Brasil , , , 
Sala: 302 , Prédio: CAC1 , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
08:50:00 - 09:40:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
10:00:00 - 10:50:00 , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
10:50:00 - 11:40:00 , , , , , , Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii , 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
